Epoch,Loss
1,0.245925
2,0.172382
3,0.158973
4,0.166934
5,0.154525
6,0.157603
7,0.151401
8,0.135040
9,0.124841
10,0.126283
11,0.115031
12,0.116800
13,0.111059
14,0.115095
15,0.098804
16,0.107486
17,0.094036
18,0.101380
19,0.099422
20,0.103169
21,0.109436
22,0.104781
23,0.102293
24,0.105149
25,0.095625
26,0.089725
27,0.099835
28,0.103456
29,0.101273
30,0.103223
31,0.099626
32,0.096135
33,0.100367
34,0.102438
35,0.095399
36,0.103971
37,0.096795
38,0.103212
39,0.096549
40,0.104765
41,0.101386
42,0.091804
43,0.093850
44,0.091591
45,0.100844
46,0.097528
47,0.092896
48,0.095474
49,0.100756
50,0.104198
51,0.097063
52,0.098481
53,0.084350
54,0.093511
55,0.094585
56,0.098427
57,0.096734
58,0.098114
59,0.088422
60,0.095925
61,0.102466
62,0.096167
63,0.085973
64,0.095529
65,0.096392
66,0.094233
67,0.099962
68,0.092069
69,0.095482
70,0.101116
71,0.090081
72,0.094808
73,0.092310
74,0.094549
75,0.088953
76,0.089952
77,0.097098
78,0.102417
79,0.094819
80,0.093033
81,0.094212
82,0.091467
83,0.091038
84,0.097998
85,0.101324
86,0.093252
87,0.097177
88,0.103043
89,0.093471
